show_id	type	title	director	cast	country	date_added	release_year	rating	duration	listed_in	description
81145628	Movie	Norm of the North: King Sized Adventure	"Richard Finn, Tim Maltby"	"Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson"	"United States, India, South Korea, China"	9-Sep-19	2019	TV-PG	90 min	"Children & Family Movies, Comedies"	"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
80117401	Movie	Jandino: Whatever it Takes		Jandino Asporaat	United Kingdom	9-Sep-16	2016	TV-MA	94 min	Stand-Up Comedy	"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
70234439	TV Show	Transformers Prime		"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle"	United States	8-Sep-18	2013	TV-Y7-FV	1 Season	Kids' TV	"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
80058654	TV Show	Transformers: Robots in Disguise		"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen"	United States	8-Sep-18	2016	TV-Y7	1 Season	Kids' TV	"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
80125979	Movie	#realityhigh	Fernando Lebrija	"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis"	United States	8-Sep-17	2017	TV-14	99 min	Comedies	"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
80163890	TV Show	Apaches		"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac"	Spain	8-Sep-17	2016	TV-MA	1 Season	"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"	A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
70304989	Movie	Automata	Gabe Ibáñez	"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall"	"Bulgaria, United States, Spain, Canada"	8-Sep-17	2014	R	110 min	"International Movies, Sci-Fi & Fantasy, Thrillers"	"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
80164077	Movie	Fabrizio Copano: Solo pienso en mi	"Rodrigo Toro, Francisco Schultz"	Fabrizio Copano	Chile	8-Sep-17	2017	TV-MA	60 min	Stand-Up Comedy	"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
80117902	TV Show	Fire Chasers			United States	8-Sep-17	2017	TV-MA	1 Season	"Docuseries, Science & Nature TV"	"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
70304990	Movie	Good People	Henrik Ruben Genz	"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh"	"United States, United Kingdom, Denmark, Sweden"	8-Sep-17	2014	R	90 min	"Action & Adventure, Thrillers"	A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
